;;;;;;;;;;;;x,,,,,,,,,,,,,
czh_rename_transdanubia_title;Rename Transdanubia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_rename_transdanubia_desc;Transdanubia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_rename_transdanubia_title;Rename Transdanubia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_rename_transdanubia_desc;Transdanubia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_bohemia_rename_title;Rename Bohemia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_bohemia_rename_desc;Bohemia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_bohemia_rename_title;Rename Bohemia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_bohemia_rename_desc;Bohemia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_sudetes_rename_title;Rename Sudetes!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_sudetes_rename_desc;Sudetia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_sudetes_rename_title;Rename Sudetes!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_sudetes_rename_desc;Sudetia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_slovakia_rename_title;Rename Slovakia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_slovakia_rename_desc;Slovakia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_slovakia_rename_title;Rename Slovakia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_slovakia_rename_desc;Slovakia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_central_avaria_rename_title;Rename Avaria!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_central_avaria_rename_desc;Avaria is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_central_avaria_rename_title;Rename Avaria!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_central_avaria_rename_desc;Avaria is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_southern_transylvania_rename_title;Rename Southern Transylvania!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_southern_transylvania_rename_desc;Southern Transylvania is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_southern_transylvania_rename_title;Rename Southern Transylvania!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_southern_transylvania_rename_desc;Southern Transylvania is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
rom_southern_transylvania_rename_title;Rename Southern Transylvania!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
rom_southern_transylvania_rename_desc;Southern Transylvania is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_northern_transylvania_rename_title;Rename Northern Transylvania!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
czh_northern_transylvania_rename_desc;Northern Transylvania is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_northern_transylvania_rename_title;Rename Northern Transylvania!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
ger_northern_transylvania_rename_desc;Northern Transylvania is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
rom_northern_transylvania_rename_title;Rename Northern Transylvania!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
rom_northern_transylvania_rename_desc;Northern Transylvania is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,